x,L,u,e,tau_xx,tau_yy,tau_zz
0,1,1,1,1,0.5,0
0.000999,0.99965,1.0016,0.99877,0.96001,0.44008,-0.041581
0.001998,0.99931,1.0032,0.99753,0.92388,0.38621,-0.079291
0.002997,0.99897,1.0048,0.99629,0.89128,0.3378,-0.11348
0.003996,0.99864,1.0064,0.99505,0.86189,0.29435,-0.14446
0.004995,0.99831,1.0079,0.9938,0.83536,0.25526,-0.17258
0.005994,0.99799,1.0095,0.99256,0.81143,0.22012,-0.1981
0.006993,0.99767,1.0111,0.99131,0.78986,0.18852,-0.22127
0.007992,0.99735,1.0127,0.99006,0.77035,0.15999,-0.24237
0.008991,0.99704,1.0143,0.98881,0.7528,0.13436,-0.26152
0.00999,0.99673,1.0159,0.98757,0.73691,0.11116,-0.279
0.010989,0.99642,1.0175,0.98632,0.72261,0.090269,-0.29491
0.011988,0.99611,1.0191,0.98507,0.7097,0.071389,-0.30942
0.012987,0.99581,1.0207,0.98382,0.69809,0.054381,-0.32263
0.013986,0.9955,1.0223,0.98257,0.68764,0.039017,-0.33469
0.014985,0.9952,1.0239,0.98132,0.67826,0.025166,-0.34569
0.015984,0.9949,1.0256,0.98008,0.66982,0.012644,-0.35573
0.016983,0.9946,1.0272,0.97883,0.66225,0.0013341,-0.36492
0.017982,0.99431,1.0288,0.97759,0.65547,-0.008889,-0.37331
0.018981,0.99401,1.0304,0.97634,0.64941,-0.018134,-0.381
0.01998,0.99371,1.032,0.9751,0.64399,-0.026495,-0.38804
0.020979,0.99342,1.0337,0.97385,0.63915,-0.034063,-0.3945
0.021978,0.99312,1.0353,0.97261,0.63485,-0.040918,-0.40043
0.022977,0.99283,1.0369,0.97137,0.63103,-0.047127,-0.40588
0.023976,0.99254,1.0385,0.97013,0.62765,-0.052759,-0.41089
0.024975,0.99224,1.0402,0.9689,0.62466,-0.057868,-0.41551
0.025974,0.99195,1.0418,0.96766,0.62204,-0.062504,-0.41977
0.026973,0.99166,1.0434,0.96642,0.61974,-0.066717,-0.42371
0.027972,0.99137,1.0451,0.96519,0.61774,-0.070543,-0.42735
0.028971,0.99107,1.0467,0.96396,0.61601,-0.074022,-0.43072
0.02997,0.99078,1.0484,0.96272,0.61453,-0.077188,-0.43386
0.030969,0.99049,1.05,0.96149,0.61327,-0.080069,-0.43676
0.031968,0.9902,1.0517,0.96027,0.61221,-0.082695,-0.43947
0.032967,0.98991,1.0533,0.95904,0.61134,-0.08509,-0.442
0.033966,0.98962,1.055,0.95781,0.61064,-0.087276,-0.44436
0.034965,0.98933,1.0567,0.95659,0.61009,-0.089275,-0.44657
0.035964,0.98904,1.0583,0.95537,0.60967,-0.091102,-0.44865
0.036963,0.98875,1.06,0.95414,0.60939,-0.092777,-0.4506
0.037962,0.98846,1.0617,0.95292,0.60921,-0.094313,-0.45244
0.038961,0.98817,1.0633,0.95171,0.60915,-0.095726,-0.45418
0.03996,0.98788,1.065,0.95049,0.60917,-0.097028,-0.45583
0.040959,0.98759,1.0667,0.94927,0.60928,-0.098227,-0.4574
0.041958,0.9873,1.0684,0.94806,0.60947,-0.099331,-0.45889
0.042957,0.98701,1.07,0.94685,0.60973,-0.10035,-0.46031
0.043956,0.98672,1.0717,0.94564,0.61006,-0.1013,-0.46167
0.044955,0.98643,1.0734,0.94443,0.61044,-0.10217,-0.46297
0.045954,0.98614,1.0751,0.94322,0.61089,-0.10299,-0.46422
0.046953,0.98585,1.0768,0.94201,0.61138,-0.10373,-0.46541
0.047952,0.98556,1.0785,0.94081,0.61192,-0.10444,-0.46657
0.048951,0.98527,1.0802,0.9396,0.6125,-0.10509,-0.46769
0.04995,0.98498,1.0819,0.9384,0.61312,-0.10571,-0.46877
0.050949,0.98469,1.0836,0.9372,0.61377,-0.10628,-0.46982
0.051948,0.9844,1.0853,0.936,0.61446,-0.10681,-0.47084
0.052947,0.98411,1.087,0.93481,0.61517,-0.10732,-0.47184
0.053946,0.98382,1.0887,0.93361,0.61591,-0.1078,-0.47281
0.054945,0.98354,1.0904,0.93242,0.61668,-0.10825,-0.47376
0.055944,0.98325,1.0922,0.93122,0.61747,-0.10868,-0.47469
0.056943,0.98296,1.0939,0.93003,0.61828,-0.10909,-0.4756
0.057942,0.98267,1.0956,0.92884,0.6191,-0.10948,-0.47649
0.058941,0.98238,1.0973,0.92765,0.61995,-0.10985,-0.47738
0.05994,0.98209,1.0991,0.92647,0.62081,-0.11021,-0.47824
0.060939,0.9818,1.1008,0.92528,0.62168,-0.11055,-0.4791
0.061938,0.98151,1.1025,0.9241,0.62257,-0.11088,-0.47995
0.062937,0.98122,1.1043,0.92292,0.62347,-0.1112,-0.48079
0.063936,0.98093,1.106,0.92174,0.62438,-0.11151,-0.48162
0.064935,0.98064,1.1077,0.92056,0.6253,-0.11181,-0.48244
0.065934,0.98036,1.1095,0.91938,0.62623,-0.11211,-0.48326
0.066933,0.98007,1.1112,0.9182,0.62717,-0.11239,-0.48407
0.067932,0.97978,1.113,0.91703,0.62811,-0.11267,-0.48487
0.068931,0.97949,1.1147,0.91586,0.62906,-0.11295,-0.48567
0.06993,0.9792,1.1165,0.91469,0.63003,-0.11321,-0.48647
0.070929,0.97891,1.1183,0.91352,0.631,-0.11347,-0.48726
